,review,rating
207,I'm one of very few that loves Suicide Squad!,1
208,This is not movie you need right now. This is the movie you deserve.,1
209,"Tonedeaf, joyless and above all boring",0
210,Don't make a judgment without watching it.,1
211,So bad I had to get it out of my system in IMDb,0
212,Decent movie,1
213,Disappointment !!,0
214,Best Superhero movie ever!!!,1
215,A decent film but lack of decent plot plays the spoilsport!,1
216,An absolute laughing stock.,0
217,The greatest DC film since The Dark Knight Rises,1
218,Loved it to a point,1
219,Embarrassingly bad!,0
220,Longest music video i've ever seen,1
221,Waste of time and money,0
222,Messy But A Damn Fun Action Thrill Ride With An Excellent Will Smith.,1
223,Worst movie ever?,0
224,perfect movie for all audiences,1
225,Seen the regular Version... But Extended is a whole no Film Experience!,1
226,too much of disappointments,0
227,Lifetime comic book fan that is 100% satisfied,1
228,Not that bad...,1
229,Suicide Squad is evil terrible,0
230,Whacky trippy badass characters brought to life,1
231,Yes The Joker was awful but...,0
232,Not That Bad,1
233,Worst Blockbuster I've ever seen,0
234,"Exceeded very, VERY high expectations. LOVED IT",1
235,Not as bad as everyone is making out....,1
236,"Wow, did not think it will disappoint me this much. Waste of money!",0
237,Action packed with bold Dialogue,1
238,Solid 7,1
239,Worst Superhero Movie Since 2003's Hulk,0
240,"Not a bad movie, needed more joker",1
241,"Just not good, as in bad.",0
242,"One Flaw, The Movie is Not Great",1
243,The worst Oscar-winning film of all time,0
244,"I on ce had the ""Joy"" of a GF like Margot Robbie's character ...such nostalgia!",1
245,A Beautiful Crash Landing.,1
246,Disappointing.,0
247,Very entertaining guilty pleasure,1
248,"Not Great, Not Horrible",1
249,Junk,0
250,3hrs Would Have Done This Story Justice,1
251,Eurgh.,0
252,Suicide squad,1
253,Suicide squad,0
254,Was fun to watch,1
255,"Poorly developed Characters, but overall enjoyable",1
256,So Bad that it was not even good,0
257,Review,1
258,"Better than expected, but still not a great movie",1
259,ugh...,0
260,DC seems to be getting it right... slowly...,1
261,Ruined by Studio Interferences and a lack of clear direction.,0
262,"Generic action, simple plot. Watchable, but not great.",1
263,Is it really that terrible?,0
264,I love this movie,1
265,"For a SQUAD of an impressive-high-profile cast, not the best SUICIDE movie.",1
266,Disgruntled,0
267,Enjoyable Watch on a Good Entertainment System,1
268,An Above Average DC Film,1
269,Give us the Ayer Cut!,0
270,Cringe-worthy,1
271,Suicidal is making a Marvel - style movie without knowing how to do it,0
272,Was just ok,1
273,Where are the bad guys? I couldn't see them lol,0
274,Honestly Fantastic Movie. Rotten Tomatoes is Just Stupid.,1
275,Enjoyed this a lot.,1
276,SUICIDE SQUAD - Such a mess!,0
277,Great movie for all comic book fans,1
278,Joker under used,1
279,Boycott Wonder Woman and they'll reboot the DCU,0
280,Extended Cut Review: Pretty much what I expected,1
281,What a Waste,0
282,Suicide Squad: you may like you may not.,1
283,Ruined by the fingerprints of studio interference and misogyny,0
284,Don't let the critics fool you,1
285,Worst. Heroes. Ever.,1
286,"Another ""superhero"" movie......",0
287,be smart not dumb,1
288,Kind of the best DC-Universe movie,1
289,Amazing Start But It Falls Apart,0
290,Enjoyable enough good and bad,1
291,"I wanted to love this movie, but DC Comics failed miserably",0
292,Not all expected.,1
293,A mediocre super-villain team-up film,0
294,It was my most anticipated movie of 2016 - not disappointed,1
295,Watch the extended cut,1
296,This is not that bad... But is not good either.,0
297,Do not see what the hate is all about,1
298,Two words. Harley Quinn!,1
299,One scene absolutely ruined this movie for me,0
300,Crazy!,1
301,A nice idea executed with slapdash laziness,0
302,Really enjoyable comic book movie,1
303,Worst movie i've ever seen,0
304,"This movie is imperfect, yet fun. A great time at the movies",1
305,Could have been so much more!,1
306,This Movie Hates Harley Quinn Fans,0
307,Absolutely amazing! A MUST-WATCH!,1
308,Solid DC movie,1
309,I Now Have Suicidal Tendencies. Thanks.,0
310,Suicide is never the answer,1
311,Jumbled mess from start to finish,0
312,My First Experience in the DCEU... eh.,1
313,This is what happens when the filmmakers have zero belief in the material,0
314,"Absolutely Crazy, and I LOVED it.",1
315,Superbly packaged mediocrity,1
316,Flat characters,0
317,batsy batsy batsy,1
318,It was good but could have been better,1
319,Suicide Squad is a joke ... but not a funny one,0
320,Not so bad,1
321,Must say what a disappointment for a movie,0
322,Amazing!,1
323,"Very Disappointed, this review comes from DC fan. Rating it pg13 was a mistake",0
324,Great superhero move. That's it. That's all we need.,1
325,Not that bad,1
326,Laughably stupid,0
327,I must be one of the few who actually thought it was a decent movie,1
328,Style over substance,1
329,Worst editing ive ever seen,0
330,A masterpiece of trailer-lies,1
331,Truly horrible,0
332,Good for what was given,1
333,Joker is a joke!,0
334,Fantastic Movie,1
335,"I don't know what you want, people?!",1
336,Disappointing,0
337,"Critics were drunk, I can assure you that",1
338,"An uneven but memorable ""superhero"" movie",1
339,Nearly as good as the new Ghostbusters,0
340,A star is born,1
341,A Disappointment!,0
342,Nowhere near as bad as made out,1
343,Absymal,0
344,"Stop reading reviews and go watch it, NOW!",1
345,The Joker and Harley Quinn shine in this otherwise average movie.,1
346,Very Average,0
347,I love it. I Haven't watched a better movie in years. Its doesn't deserve the hate,1
348,They are bad guys! It is what they do...,1
349,"Think ""X-Men: Apocalypse"", by DC",0
350,"Entertaining, and better than expected",1
351,Not a good movie,0
352,Me to critics: Seriously... what the hell is wrong with you people? Critics: We are the bad guys.... its what we do.,1
353,"DC, you've done it again (and not in a good way)",0
354,"Short, honest opinion. not a fanboy.",1
355,"""Worst Heroes Ever""-""Worst Movie Ever""",1
356,Save your money and time,0
357,Awesome,1
358,Enjoyable but not perfect,1
359,"So far, one of this year's worst.",0
360,"Not recommended for cinema, just wait for Bluray or DVD",1
361,"OK, DCCU, I'm done!",0
362,Not good but I enjoyed it.,1
363,05¿ù 10ÀÏ,0
364,A Turn Around For The DCEU,1
365,A lot better than the critics make you believe,1
366,This movie just sucks,0
367,"First weekend down, amazing numbers...still underrated, still under appreciated.",1
368,These worst heroes ever make for an entertaining blockbuster ride,1
369,Only Harley Quinn is the only good thing I have!,0
370,"Not ""Suicide Squad"" but ""Deadshot"" !",1
371,Until I get to see Ayer's Cut...,0
372,"Like a real-life suicide. This movie left a big awful bloody mess. Still, it was alright entertaining movie for the most part.",1
373,Where to start....,0
374,Much More Than I Expected,1
375,Good movie with only one major disappointment,1
376,Movies do not get as corny as this,0
377,chaotic fun,1
378,"First they drive you mad, and then they drag you to war",1
379,Great movie for showing how bad a hyped movie can be.,0
380,Go see this movie!,1
381,I expected more.,0
382,"Average, wasted opportunities.",1
383,Insulting,0
384,A great addition into a still growing cinematic universe,1
385,"""Decent"" film, in all meanings of the word. Avoid the trailers if you still can.",1
386,A great big noisy mess,0
387,Personal review from someone that loves this kind of movies,1
388,Below par film,1
389,Awful,0
390,Watch it for Margot Robbie,1
391,Suicide at the Box Office,0
392,A decent action film with never before seen DC characters.,1
393,Badly directed and awkward,0
394,"Entertaining comic book action film, well worth watching!",1
395,Suicide Squad Goals Reached!!,1
396,Suicide Squad is a colorful yet a drab movie,0
397,"Blows STAR TREK BEYOND, JASON BOURNE, and GHOSTBUSTERS 2016 out of the water!",1
398,Comic-Book Wise. AMAZING. Some flaws. AMAZING CASTING. SUMMER FUN,1
399,Pale imitation of Guardians of the Galaxy!,0
400,"Colourful, trashy fun",1
401,"A choppy, sprawling effort",0
402,A step in the right direction,1
403,"Despite some plot holes and a somewhat generic villain, Suicide Squad is overall a pretty enjoyable film.",0
404,Movie wasn't perfect but definitely entertaining!,1
405,Well done but premature,1
406,"I LOVED Batman V Superman but the Critics got SUICIDE SQUAD Right, What an AWFUL Film!",0
407,The Dirty Dozen Of The DCEU,1
408,Margot Robbie is So AWESOME!!!,1
409,Entertaining at times but overall pretty bad movie,0
410,VERY Entertaining,1
411,DC fanboys gotta stop giving it 10/10.,0
412,A decent movie,1
413,Already Needs a Reboot...,0
414,"This isn't Shakespeare,haters, go to a theatre. Genre of Comics",1
415,This time the villains become heroes,1
416,Critics Are Wrong Once Again,1
417,Amusing but Thin in Character Developments,1
418,"This film could have been great, but just didn't have enough life to make it better than what it was.",0
419,Short Shorts,1
420,This feels like an unfinished movie,0
421,Good but not a perfect movie,1
422,Trash Squad,0
423,I love this movie,1
424,The most epic movie of 2016.,1
425,The Squad is full of bad guys!,0
426,Great and entertaining.,1
427,"Entertaining, but poor in usual fundamentals",1
428,Worse than Batman v Superman,0
429,"Still succeeds despite that one, huge shortcoming",1
430,Why do people keep on insisting this movie is bad?,0
431,No a disaster but neither a film worth remember,1
432,Disappointed,0
433,Better than the last two yet it lacks sometimes,1
434,BEST.... Marketing Campaign EVER!!!,1
435,Stupid,0
436,"Great cast , mediocre plot and awesome dialogues",1
437,A mess. Hear me out.,1
438,Not one bit of quality,0
439,"Suicide Squad is okay, which is WAY better than Batman v Superman",1
440,Suicide Squad (2016) The worst movie in the DCEU,0
441,Highly Underrated movie..fun watch,1
442,Not with a Bang but a Whimper,0
443,A fun time at the movies,1
444,This is still great,1
445,Deception at its finest,0
446,Margot Robbie makes this film!,1
447,great movie just wish it went for longer.,1
448,"""I Mean, What The Hell Was That?""",0
449,Some excellent performances mired in a meaningless story,1
450,How?,0
451,6 stars... for Harley Quinn.,1
452,empty shell,0
453,"As an avid reader, I loved it",1
454,Good for other reasons than a great plot,1
455,"Complete Letdown, even when I expected nothing",0
456,Good....... But........... Minor Spoilers,1
457,"Suicide Squad is like a ""mixed grill"": some scenes you will adore, others serve as a side-dish and among them there are things that are a little harder to get through!",1
458,Bruh no wtf is this nonsense,0
459,Beyond salvation,1
460,"There's something you could do for me, doctor.",0
461,If a dysfunctional family you love were a movie,1
462,No.,0
463,A Victim of fanboy childishness,1
464,"Very messy, very messy indeed .....",1
465,Bad movie with two bright spots,0
466,This movie is amazing.,1
467,"Mess of the year -or- Watch ""Assalt on Arkham"" or ""The Dirty Dozen"" for better use of your time",1
468,Justice has an ugly side... a REAL UGLY side.,0
469,"It was okay, but could have been more",1
470,A truly disappointing waste of film.,0
471,"""A whole lotta pretty in a whole lot of crazy.""",1
472,"awful movie, worse than i anticipated",0
473,A fun enjoyable ride.,1
474,A lame attempt,1
475,Solid 5-6 but lots of premise wasted,0
476,Not At All What The Critics Claim!,1
477,Surprisingly-romantic,1
478,super villains become super heroes and grow hearts,0
479,"Better than I expected, but far from what it might have been",1
480,Jumbled Mess!!!,0
481,"Watched it twice at the theater and own the DVD, under-rated great stuff!",1
482,You know it's pretty bad when you go to the movie theater and the previews are better than the actual movie.,0
483,Not perfect but just fine,1
484,One Time Watch!,1
485,A failed attempt by DC to mimic the Avengers franchise,0
486,Suicide Squad was a blast!,1
487,Bad Good Guys? or Good Bad Guys?,1
488,"Wow, that was bad",0
489,"Sadly, the best DC has to offer",1
490,"My Suicide Squad Review - I'll say it, Its Fantastic",0
491,Doesn't deserve the unfair treatment,1
492,Let down by DC Comics again! An impressive start followed by a dull ending. Poor script!,0
493,A good kind of disaster,1
494,There is a need to know and all you need to know is: Suicide Squad is very enjoyable.,1
495,Almost as disappointing as getting no presents for Christmas!,0
496,Suicide Squad is thoroughly enjoyable,1
497,"Kind of a slog at times, elements of interest.",1
498,If you rate this movie above 1 - you are the problem with this world,0
499,A Fun Disappointing Mess,1
500,Disappointing,0
501,A Fair One.,1
502,Where to begin with this?,0
503,I Don't Get The Hate,1
504,Filler movie between DC universe superheroes,1
505,Nothing makes sense in this movie,0
506,Best movie I have ever seen. It is AMAZING,1
507,A lot of potential but not quite there yet,1
508,Makes me wanna commit SUICIDE via firing SQUAD,0
509,Colorless squad in a confusing fast paced conventional adventure,1
510,This movie is fun and better than average but fail to deliver the teamwork of suicide squad,0
511,"Jared Leto and Margot Robbie Lift ""Suicide Squad""",1
512,Entertaining but utterly disappointing,0
513,This is an AWESOME film,1
514,Suicide Squad (Worst. Heroes. Ever.) A+,1
515,trainwreck of ego battles,0
516,A Great PopCorn Movie,1
517,Better than the previous DC venture,1
518,"Trailer was great, movie was terrible.",0
519,Not so bad,1
520,Why did i watch this?!,0
521,"Squad Good, Nemeses Bad",1
522,Really this movie grossed 0ver 300 million?,0
523,"Suicide Squad, attack!!!",1
524,Suicide Squad a great action-comedy thriller!,1
525,$175 Million Dollar Fireworks Display,0
526,GREAT Movie! The critics are being ridiculous.,1
527,Suicide Squad is a meh movie saved by its cast,1
528,A cash grab at it's worst,0
529,Not as bad as it's been made out to be,1
530,Wasted potential,0
531,"Five-Word Review: Often Enjoyable, Largely Disappointing & Bland",1
532,Hopefully a wakeup call for the DCEU's future.,0
533,It isn't Marvel or Ridley Scott... But it is a solid contender!,1
534,Not that bad.,1
535,Worst Comic Book Movie Ever?,0
536,Infected by the Marvel virus :(,1
537,What Can I Say? I Like Crap,1
538,Bad. Bad. Bad.,0
539,"Not trash, but neither treasure.",1
540,Slipknot,0
541,Did I have fun? kind of. Was It good? not really,1
542,Too much effort!,0
543,Margot Robbie for President,1
544,I thought it was good and it deserves better,1
545,worst dc film,0
546,"Harley steals it, Smith nails it. Leto becomes the Joker.",1
547,More Dark DC,1
548,my notes,0
549,Osm,1
550,Possibly. Worst DC Movie. EVER!,0
551,Be careful Reading Reviews From Non Comic Book Readers. Suicide Squad Is a Prime Example!,1
552,Total Crap,0
553,A lot of fun!!,1
554,Nice Movie! Oposite of the Dam High Glossy Superhere things!,1
555,for the next,0
556,"Don't listen to the critics, Screw the haters",1
557,KIler Croc,1
558,"Amazing trailer, but a sad movie",0
559,DC'S saving grace,1
560,"The Right Idea, But Still Not That Good",0
561,It's not too bad but...,1
562,I walked out,0
563,"Not the best D.C. film, yet not the worst, it's different and unique hey let the bad guys be the showcase and do the dirty work!",1
564,Don't listen to the critics!,1
565,May be few Spoiler but amazing movie I have ever watched,1
566,Here's the problem,1
567,I genuinely have no idea why people like this garbage,0
568,"Good, not great!",1
569,The best DCU film so far,0
570,"If you liked BvS, you'll like this one.",1
571,waste of time,0
572,suicide squad (2016) ??movie review ??the wait is over,1
573,Decent,1
574,Not good,0
575,*Beeping* Epic!!,1
576,Don't set the bar too high,1
577,Everything Wrong,0
578,Nothing unique or all that impressive.,1
579,The trailer was more fun than the movie,0
580,"Not anywhere near a perfect movie, but definitely worth seeing.",1
581,Very predictable,0
582,I actually almost loved it. I am in the squad :3 Joke's on me,1
583,"over-promoted but better than BvS, proving Ayer a better director than a writer.",1
584,Heavily OverPromotion of The Joker... You screwed us DC/Warner Bros.,0
585,I love this Movie!!,1
586,quite a movie where the villains are actually the heroes...sort of,1
587,It's not that great,0
588,"Spectacular setup, mediocre resolution",1
589,Easy and quite entertaining,0
590,Enjoyable but not much if u can't stand somewhat choppy plot.,1
591,"Had promise, but quickly fell flat",0
592,Why so serious?,1
593,"Better than the previous DC movies, but still short of good",1
594,Suicide Squad (2016),0
595,"Mixed feelings, Superhero genre",1
596,"descent movie with good action,comedy but a weak plot",1
597,Flat Jared Leto in comparison to Heath Ledger,0
598,"Liked it, but with reservations",1
599,Woeful,0
600,With DC Laughing All the Way to the Bank...Is the Joke on Us?,1
601,"i don't, i don't even....",0
602,a really slow burner...ish,1
603,Split between fandom and time.,1
604,a dissapointment,0
605,This is a worthwhile addition to the super hero genre that I really enjoyed,1
606,"""Suicide Squad"" feels like DC trying to catch up to Marvel",1
607,CG vomit,0
608,Seppuku Squad,1
609,Awful Movie,0
610,"Suicide Squad delivers a solid two hours of aesthetically pleasing, superpowered action that's just plain fun to watch.",1
611,"Just the worst - writing, plot, everything",0
612,"Not bad, could be better",1
613,Fun time with plenty of lols,1
614,"A ""Must not see"" film",0
615,Suicide Squad was Badass,1
616,Entertaining but not as good as expected,1
617,They nailed it with Margot Robbie and failed in every other aspect,0
618,Well................ it's worth watching,1
619,Not DC,0
620,The Third Best DC Studios Movie,1
621,Bad,0
622,Why have the Suicide squad when all you need is Deadshot?,1
623,Falls flat,0
624,Great Movie,1
625,Bad! Bad villains!,1
626,Ughh,0
627,"Enjoyable, but poor story",1
628,this movie feels very disjointed and broken up,0
629,"Starts off great, good middle, then drops off at the end.",1
630,"Nothing to see here, move along.",0
631,Very interesting,1
632,Couldn't do justice with the Joker..!!,1
633,Wonderful film!,0
634,Super Hero Version of The Dirty Dozen,1
635,"Not The Best, But Not The Worst",1
636,Garbage.,0
637,"Not the big breakthrough, but fun nonetheless",1
638,Just a mess,0
639,Very entertaining but not a very deep movie,1
640,flat,0
641,Finally a good DC movie,1
642,"Watchable, but a generally disappointing and empty affair",1
643,It has 2 huge problems,0
644,Not dark or twisted enough but fun nevertheless,1
645,The Joker was awful.,1
646,Suicide Squad is Terrible,0
647,"Suicide Squad | Worst Heroes Ever with great potential, but wrong execution",1
648,A wasted opportunity for DCs cinematic universe,0
649,"""Suicide Squad"" is Fast and Fun But Could Have Been Better",1
650,An Unwatchable movie,0
651,DC Does It Again,1
652,Great movie,1
653,Not good,0
654,As A Normal Movie Fan My Review On Suicide Squad,1
655,Rant/Rave,1
656,Absolutely boring and not worth seeing,0
657,Suicide Squad Review!,1
658,Garbage,0
659,Great Start Flat Finish,1
660,Needs more action,0
661,Amazing movie,1
662,"Great characters and performances, inconsistent storytelling.",1
663,Colossal boring trainwreck,0
664,Wow!!! This was awesome,1
665,Great and terrible at once,1
666,Suicide Squad Is An Alright Movie,0
667,a superhero mix-bag fatigue,1
668,In an attempt to make the DC extended universe more dark and adult it becomes more teenage.,0
669,Better Than Expected,1
670,A Bull's-Eye of Horrible Execution,0
671,Awesome Movie,1
672,"Big potential left unfulfilled, but still well worth watching",1
673,Lack of character development,0
674,An extended director's cut would make it nearly perfect!,1
675,Suicide Squad Review,1
676,Spoilers* 3rd rate DC characters in a bad installment of the mummy franchise,0
677,A mediocre antihero movie with a great cast.,1
678,"Top actors in ""B"" movie",0
679,It was OK but I Wish It was Gr8. DC I expect Better!,1
680,Aggressively bad and painfully stupid,0
681,awesome squad,1
682,How Did This Get Such Bad Reviews??,1
683,DISAPPOINTMENT,0
684,A Change of Pace For Super Hero Movies,1
685,Beautiful movie.,1
686,It Was.... Okay,0
687,Potential for further films - could have done more with this one.,1
688,Eh,0
689,"Suicide Squad, deserving Near Perfect Movie, blundered upon a standard Fun/Action Film",1
690,OFFENDED?@!?!?!?,0
691,"Not as bad as the critics or the review, instead an interesting movie",1
692,Fun though a little bit cartoonish,1
693,Simply pathetic,0
694,Whats with all the hate,1
695,"""Suicide Squad"" Is As Good As The Actions Of Its Antiheros",1
696,"What I was expecting to be the ""Avengers"" for villains was, well... not that. Not remotely.",0
697,Not as bad as everyone says,1
698,New low for big budget garbage,0
699,"Harley Quinn is hot, but the movies not",1
700,It felt like one big trailer,0
701,Fun and entertaining,1
702,I love dark themed DC universe,1
703,Everything wrong with DC,0
704,Truly Amazing - Joker and Harley Are the BEST,1
705,Still Fun Despite a Seeming Lack of Direction,1
706,"Short on concept, rife with stereotypes, bad one-liners, re-shoots, we saw this coming.",0
707,"Unbalanced, Yet Entertaining",1
708,For the brain-dead masses,0
709,Very disappointing,1
710,Not as horrible as I was expecting,0
711,"""Oh, I'm not gonna kill you, I'm just gonna hurt you, really, really, bad!""",1
712,"Not bad, yet not memorable",1
713,Pretentious Portrayals of The Original Characters from the Comic Books,0
714,"Suicide Squad is a jaw dropping thriller that will have you begging for more, I suggest you see this movie as it does set up the future of the DCEU.",1
715,"Great movie overall ,just lower your expectations",1
716,Simply Awful,0
717,The best part was Ben Affleck.,1
718,Just Bad.,0
719,"DC's best movie so far, which isn't necessarily a good thing",1
720,Suicide Squad was a really bad movie,0
721,Insanely brilliant,1
722,A weird but fun movie,1
723,Margot Robbie is worth a star,0
724,"Good movie, too harshly criticised",1
725,"""Assault on Arkham"" is still the better movie",1
726,Officer Amanda Waller to guarantee the safety of the US forms a team which includes the most dangerous villains of the world...,0
727,Guilty Pleasures,1
728,Suicide Squad: A Misfire of Missed Opportunities,0
729,Acting Makes This A Winner,1
730,When good source material goes bad!,0
731,DC delivers more fun to match it's darkness.,1
732,"Not only one of my favorite superhero movies, one of my favorite films ever",1
733,Schlechter als erwatet,0
734,Only for Entertainment purposes,1
735,Just another super-hero movie...,1
736,Mostly bad,0
737,Harley Worth Watching,1
738,The movie is TERRIBLE,0
739,Stupid fun with no story,1
740,Another wasted potential,0
741,Worst heroes,1
742,Suicide Squad was a fun movie with a messy way of telling the storyline,1
743,Cringe,0
744,Really underrated,1
745,Not As Bad As People Are Saying!,1
746,"After watching this,suicide could be the answer",0
747,Missed opportunity,1
748,Garbage,0
