,review,rating
166,"Amusing in parts, but so many missed opportunities...",4
167,Not perfect. But very entertaining,8
168,Awful Joker,6
169,Horrible Writing and Direction,1
170,That was a disappointment...,6
171,"What are we, some kinda...",1
172,"Definitely not so bad, as a lot of people say",7
173,Good because of Harley Quinn,5
174,** May Contain a little bit of spoilers **,10
175,Fun. But there is so much more potential,7
176,One of the worst movies of it's genre I've ever seen.,1
177,Never listen to the critics,8
178,"""Don't forget, we're the bad guys.""",7
179,Genuinely the worst movie I have ever seen.,1
180,Probably the best movie I have ever seen,7
181,"Oh boy, where to start.",5
182,Very good movie but could've been better,7
183,A wasted opportunity that ends up as a damp squib.......,3
184,"For what it is, it's excellent",10
185,Good movie,7
186,Suicide Squad arrives posthumously ...,4
187,Biased Tomatoes were wrong after all,10
188,Worst Heroes Ever,7
189,Most over-hyped and disappointing film of 2016,4
190,Everyone seems to be complaining and I can't understand why...,6
191,Was it as Awesome as the Trailer made it to be!?,5
192,Somewhat entertaining,7
193,Dismal Crap.,3
194,Great movie! Exactly what I expected from a Suicide Squad movie.,10
195,It did its job to entertain,7
196,Oh! It's cool I guess.,4
197,Miles better than the so called sequal,9
198,Nice concept and some tense moments,6
199,"It's cool, but what happened?",4
200,Better than critics say,7
201,One word: sucks,4
202,"Yes, I liked this movie.",7
203,I don't recommend to pay for this movie,1
204,A comic book pasted onto your Screens,9
205,An action entertainer that could have been much more.,6
206,One of the worst,4
207,I'm one of very few that loves Suicide Squad!,9
208,This is not movie you need right now. This is the movie you deserve.,7
209,"Tonedeaf, joyless and above all boring",2
210,Don't make a judgment without watching it.,7
211,So bad I had to get it out of my system in IMDb,3
212,Decent movie,7
213,Disappointment !!,5
214,Best Superhero movie ever!!!,10
215,A decent film but lack of decent plot plays the spoilsport!,6
216,An absolute laughing stock.,1
217,The greatest DC film since The Dark Knight Rises,10
218,Loved it to a point,6
219,Embarrassingly bad!,1
220,Longest music video i've ever seen,6
221,Waste of time and money,1
222,Messy But A Damn Fun Action Thrill Ride With An Excellent Will Smith.,7
223,Worst movie ever?,2
224,perfect movie for all audiences,10
225,Seen the regular Version... But Extended is a whole no Film Experience!,7
226,too much of disappointments,4
227,Lifetime comic book fan that is 100% satisfied,10
228,Not that bad...,7
229,Suicide Squad is evil terrible,1
230,Whacky trippy badass characters brought to life,7
231,Yes The Joker was awful but...,1
232,Not That Bad,6
233,Worst Blockbuster I've ever seen,2
234,"Exceeded very, VERY high expectations. LOVED IT",10
235,Not as bad as everyone is making out....,7
236,"Wow, did not think it will disappoint me this much. Waste of money!",1
237,Action packed with bold Dialogue,8
238,Solid 7,7
239,Worst Superhero Movie Since 2003's Hulk,1
240,"Not a bad movie, needed more joker",6
241,"Just not good, as in bad.",2
242,"One Flaw, The Movie is Not Great",6
243,The worst Oscar-winning film of all time,1
244,"I on ce had the ""Joy"" of a GF like Margot Robbie's character ...such nostalgia!",10
245,A Beautiful Crash Landing.,7
246,Disappointing.,2
247,Very entertaining guilty pleasure,9
248,"Not Great, Not Horrible",6
249,Junk,1
250,3hrs Would Have Done This Story Justice,6
251,Eurgh.,1
252,Suicide squad,7
253,Suicide squad,3
254,Was fun to watch,8
255,"Poorly developed Characters, but overall enjoyable",6
256,So Bad that it was not even good,1
257,Review,9
258,"Better than expected, but still not a great movie",7
259,ugh...,5
260,DC seems to be getting it right... slowly...,7
261,Ruined by Studio Interferences and a lack of clear direction.,2
262,"Generic action, simple plot. Watchable, but not great.",6
263,Is it really that terrible?,1
264,I love this movie,10
265,"For a SQUAD of an impressive-high-profile cast, not the best SUICIDE movie.",7
266,Disgruntled,1
267,Enjoyable Watch on a Good Entertainment System,8
268,An Above Average DC Film,6
269,Give us the Ayer Cut!,5
270,Cringe-worthy,6
271,Suicidal is making a Marvel - style movie without knowing how to do it,1
272,Was just ok,6
273,Where are the bad guys? I couldn't see them lol,3
274,Honestly Fantastic Movie. Rotten Tomatoes is Just Stupid.,10
275,Enjoyed this a lot.,6
276,SUICIDE SQUAD - Such a mess!,1
277,Great movie for all comic book fans,10
278,Joker under used,6
279,Boycott Wonder Woman and they'll reboot the DCU,3
280,Extended Cut Review: Pretty much what I expected,7
281,What a Waste,3
282,Suicide Squad: you may like you may not.,7
283,Ruined by the fingerprints of studio interference and misogyny,1
284,Don't let the critics fool you,8
285,Worst. Heroes. Ever.,6
286,"Another ""superhero"" movie......",3
287,be smart not dumb,9
288,Kind of the best DC-Universe movie,7
289,Amazing Start But It Falls Apart,5
290,Enjoyable enough good and bad,6
291,"I wanted to love this movie, but DC Comics failed miserably",4
292,Not all expected.,7
293,A mediocre super-villain team-up film,5
294,It was my most anticipated movie of 2016 - not disappointed,10
295,Watch the extended cut,7
296,This is not that bad... But is not good either.,5
297,Do not see what the hate is all about,10
298,Two words. Harley Quinn!,7
299,One scene absolutely ruined this movie for me,1
300,Crazy!,6
301,A nice idea executed with slapdash laziness,5
302,Really enjoyable comic book movie,6
303,Worst movie i've ever seen,2
304,"This movie is imperfect, yet fun. A great time at the movies",8
305,Could have been so much more!,6
306,This Movie Hates Harley Quinn Fans,1
307,Absolutely amazing! A MUST-WATCH!,10
308,Solid DC movie,7
309,I Now Have Suicidal Tendencies. Thanks.,2
310,Suicide is never the answer,6
311,Jumbled mess from start to finish,5
312,My First Experience in the DCEU... eh.,7
313,This is what happens when the filmmakers have zero belief in the material,1
314,"Absolutely Crazy, and I LOVED it.",10
315,Superbly packaged mediocrity,7
316,Flat characters,1
317,batsy batsy batsy,10
318,It was good but could have been better,7
319,Suicide Squad is a joke ... but not a funny one,2
320,Not so bad,7
321,Must say what a disappointment for a movie,1
322,Amazing!,7
323,"Very Disappointed, this review comes from DC fan. Rating it pg13 was a mistake",4
324,Great superhero move. That's it. That's all we need.,10
325,Not that bad,7
326,Laughably stupid,1
327,I must be one of the few who actually thought it was a decent movie,10
328,Style over substance,6
329,Worst editing ive ever seen,2
330,A masterpiece of trailer-lies,6
331,Truly horrible,1
332,Good for what was given,7
333,Joker is a joke!,1
334,Fantastic Movie,10
335,"I don't know what you want, people?!",6
336,Disappointing,5
337,"Critics were drunk, I can assure you that",10
338,"An uneven but memorable ""superhero"" movie",7
339,Nearly as good as the new Ghostbusters,1
340,A star is born,7
341,A Disappointment!,5
342,Nowhere near as bad as made out,7
343,Absymal,3
344,"Stop reading reviews and go watch it, NOW!",10
345,The Joker and Harley Quinn shine in this otherwise average movie.,7
346,Very Average,4
347,I love it. I Haven't watched a better movie in years. Its doesn't deserve the hate,10
348,They are bad guys! It is what they do...,6
349,"Think ""X-Men: Apocalypse"", by DC",4
350,"Entertaining, and better than expected",7
351,Not a good movie,1
352,Me to critics: Seriously... what the hell is wrong with you people? Critics: We are the bad guys.... its what we do.,6
353,"DC, you've done it again (and not in a good way)",3
354,"Short, honest opinion. not a fanboy.",10
355,"""Worst Heroes Ever""-""Worst Movie Ever""",6
356,Save your money and time,3
357,Awesome,10
358,Enjoyable but not perfect,7
359,"So far, one of this year's worst.",4
360,"Not recommended for cinema, just wait for Bluray or DVD",6
361,"OK, DCCU, I'm done!",3
362,Not good but I enjoyed it.,7
363,05¿ù 10ÀÏ,4
364,A Turn Around For The DCEU,10
365,A lot better than the critics make you believe,7
366,This movie just sucks,1
367,"First weekend down, amazing numbers...still underrated, still under appreciated.",10
368,These worst heroes ever make for an entertaining blockbuster ride,7
369,Only Harley Quinn is the only good thing I have!,4
370,"Not ""Suicide Squad"" but ""Deadshot"" !",6
371,Until I get to see Ayer's Cut...,1
372,"Like a real-life suicide. This movie left a big awful bloody mess. Still, it was alright entertaining movie for the most part.",6
373,Where to start....,1
374,Much More Than I Expected,10
375,Good movie with only one major disappointment,7
376,Movies do not get as corny as this,1
377,chaotic fun,8
378,"First they drive you mad, and then they drag you to war",6
379,Great movie for showing how bad a hyped movie can be.,1
380,Go see this movie!,7
381,I expected more.,3
382,"Average, wasted opportunities.",6
383,Insulting,1
384,A great addition into a still growing cinematic universe,8
385,"""Decent"" film, in all meanings of the word. Avoid the trailers if you still can.",7
386,A great big noisy mess,1
387,Personal review from someone that loves this kind of movies,8
388,Below par film,6
389,Awful,1
390,Watch it for Margot Robbie,7
391,Suicide at the Box Office,3
392,A decent action film with never before seen DC characters.,6
393,Badly directed and awkward,1
394,"Entertaining comic book action film, well worth watching!",8
395,Suicide Squad Goals Reached!!,7
396,Suicide Squad is a colorful yet a drab movie,3
397,"Blows STAR TREK BEYOND, JASON BOURNE, and GHOSTBUSTERS 2016 out of the water!",10
398,Comic-Book Wise. AMAZING. Some flaws. AMAZING CASTING. SUMMER FUN,6
399,Pale imitation of Guardians of the Galaxy!,2
400,"Colourful, trashy fun",6
401,"A choppy, sprawling effort",5
402,A step in the right direction,7
403,"Despite some plot holes and a somewhat generic villain, Suicide Squad is overall a pretty enjoyable film.",5
404,Movie wasn't perfect but definitely entertaining!,9
405,Well done but premature,7
406,"I LOVED Batman V Superman but the Critics got SUICIDE SQUAD Right, What an AWFUL Film!",1
407,The Dirty Dozen Of The DCEU,8
408,Margot Robbie is So AWESOME!!!,7
409,Entertaining at times but overall pretty bad movie,1
410,VERY Entertaining,6
411,DC fanboys gotta stop giving it 10/10.,2
412,A decent movie,6
413,Already Needs a Reboot...,2
414,"This isn't Shakespeare,haters, go to a theatre. Genre of Comics",10
415,This time the villains become heroes,7
416,Critics Are Wrong Once Again,10
417,Amusing but Thin in Character Developments,7
418,"This film could have been great, but just didn't have enough life to make it better than what it was.",5
419,Short Shorts,6
420,This feels like an unfinished movie,2
421,Good but not a perfect movie,6
422,Trash Squad,1
423,I love this movie,10
424,The most epic movie of 2016.,6
425,The Squad is full of bad guys!,2
426,Great and entertaining.,8
427,"Entertaining, but poor in usual fundamentals",6
428,Worse than Batman v Superman,3
429,"Still succeeds despite that one, huge shortcoming",7
430,Why do people keep on insisting this movie is bad?,3
431,No a disaster but neither a film worth remember,6
432,Disappointed,4
433,Better than the last two yet it lacks sometimes,8
434,BEST.... Marketing Campaign EVER!!!,6
435,Stupid,1
436,"Great cast , mediocre plot and awesome dialogues",8
437,A mess. Hear me out.,6
438,Not one bit of quality,1
439,"Suicide Squad is okay, which is WAY better than Batman v Superman",7
440,Suicide Squad (2016) The worst movie in the DCEU,2
441,Highly Underrated movie..fun watch,7
442,Not with a Bang but a Whimper,2
443,A fun time at the movies,8
444,This is still great,7
445,Deception at its finest,1
446,Margot Robbie makes this film!,10
447,great movie just wish it went for longer.,7
448,"""I Mean, What The Hell Was That?""",1
449,Some excellent performances mired in a meaningless story,6
450,How?,2
451,6 stars... for Harley Quinn.,6
452,empty shell,3
453,"As an avid reader, I loved it",9
454,Good for other reasons than a great plot,7
455,"Complete Letdown, even when I expected nothing",2
456,Good....... But........... Minor Spoilers,8
457,"Suicide Squad is like a ""mixed grill"": some scenes you will adore, others serve as a side-dish and among them there are things that are a little harder to get through!",7
458,Bruh no wtf is this nonsense,2
459,Beyond salvation,6
460,"There's something you could do for me, doctor.",4
461,If a dysfunctional family you love were a movie,7
462,No.,1
463,A Victim of fanboy childishness,8
464,"Very messy, very messy indeed .....",6
465,Bad movie with two bright spots,2
466,This movie is amazing.,9
467,"Mess of the year -or- Watch ""Assalt on Arkham"" or ""The Dirty Dozen"" for better use of your time",6
468,Justice has an ugly side... a REAL UGLY side.,1
469,"It was okay, but could have been more",7
470,A truly disappointing waste of film.,2
471,"""A whole lotta pretty in a whole lot of crazy.""",6
472,"awful movie, worse than i anticipated",1
473,A fun enjoyable ride.,8
474,A lame attempt,6
475,Solid 5-6 but lots of premise wasted,5
476,Not At All What The Critics Claim!,9
477,Surprisingly-romantic,6
478,super villains become super heroes and grow hearts,3
479,"Better than I expected, but far from what it might have been",7
480,Jumbled Mess!!!,1
481,"Watched it twice at the theater and own the DVD, under-rated great stuff!",7
482,You know it's pretty bad when you go to the movie theater and the previews are better than the actual movie.,1
483,Not perfect but just fine,8
484,One Time Watch!,7
485,A failed attempt by DC to mimic the Avengers franchise,4
486,Suicide Squad was a blast!,10
487,Bad Good Guys? or Good Bad Guys?,7
488,"Wow, that was bad",4
489,"Sadly, the best DC has to offer",6
490,"My Suicide Squad Review - I'll say it, Its Fantastic",5
491,Doesn't deserve the unfair treatment,6
492,Let down by DC Comics again! An impressive start followed by a dull ending. Poor script!,5
493,A good kind of disaster,8
494,There is a need to know and all you need to know is: Suicide Squad is very enjoyable.,7
495,Almost as disappointing as getting no presents for Christmas!,4
496,Suicide Squad is thoroughly enjoyable,10
497,"Kind of a slog at times, elements of interest.",6
498,If you rate this movie above 1 - you are the problem with this world,1
499,A Fun Disappointing Mess,6
500,Disappointing,4
501,A Fair One.,7
502,Where to begin with this?,1
503,I Don't Get The Hate,8
504,Filler movie between DC universe superheroes,6
505,Nothing makes sense in this movie,1
506,Best movie I have ever seen. It is AMAZING,10
507,A lot of potential but not quite there yet,6
508,Makes me wanna commit SUICIDE via firing SQUAD,1
509,Colorless squad in a confusing fast paced conventional adventure,6
510,This movie is fun and better than average but fail to deliver the teamwork of suicide squad,5
511,"Jared Leto and Margot Robbie Lift ""Suicide Squad""",7
512,Entertaining but utterly disappointing,5
513,This is an AWESOME film,10
514,Suicide Squad (Worst. Heroes. Ever.) A+,7
515,trainwreck of ego battles,1
516,A Great PopCorn Movie,10
517,Better than the previous DC venture,6
518,"Trailer was great, movie was terrible.",5
519,Not so bad,6
520,Why did i watch this?!,3
521,"Squad Good, Nemeses Bad",6
522,Really this movie grossed 0ver 300 million?,1
523,"Suicide Squad, attack!!!",8
524,Suicide Squad a great action-comedy thriller!,7
525,$175 Million Dollar Fireworks Display,2
526,GREAT Movie! The critics are being ridiculous.,10
527,Suicide Squad is a meh movie saved by its cast,6
528,A cash grab at it's worst,1
529,Not as bad as it's been made out to be,7
530,Wasted potential,2
531,"Five-Word Review: Often Enjoyable, Largely Disappointing & Bland",6
532,Hopefully a wakeup call for the DCEU's future.,2
533,It isn't Marvel or Ridley Scott... But it is a solid contender!,8
534,Not that bad.,6
535,Worst Comic Book Movie Ever?,2
536,Infected by the Marvel virus :(,8
537,What Can I Say? I Like Crap,7
538,Bad. Bad. Bad.,2
539,"Not trash, but neither treasure.",7
540,Slipknot,1
541,Did I have fun? kind of. Was It good? not really,6
542,Too much effort!,5
543,Margot Robbie for President,9
544,I thought it was good and it deserves better,7
545,worst dc film,3
546,"Harley steals it, Smith nails it. Leto becomes the Joker.",10
547,More Dark DC,7
548,my notes,3
549,Osm,7
550,Possibly. Worst DC Movie. EVER!,2
551,Be careful Reading Reviews From Non Comic Book Readers. Suicide Squad Is a Prime Example!,6
552,Total Crap,1
553,A lot of fun!!,8
554,Nice Movie! Oposite of the Dam High Glossy Superhere things!,7
555,for the next,3
556,"Don't listen to the critics, Screw the haters",10
557,KIler Croc,7
558,"Amazing trailer, but a sad movie",3
559,DC'S saving grace,6
560,"The Right Idea, But Still Not That Good",3
561,It's not too bad but...,7
562,I walked out,1
563,"Not the best D.C. film, yet not the worst, it's different and unique hey let the bad guys be the showcase and do the dirty work!",8
564,Don't listen to the critics!,7
565,May be few Spoiler but amazing movie I have ever watched,10
566,Here's the problem,7
567,I genuinely have no idea why people like this garbage,1
568,"Good, not great!",7
569,The best DCU film so far,2
570,"If you liked BvS, you'll like this one.",7
571,waste of time,3
572,suicide squad (2016) ??movie review ??the wait is over,10
573,Decent,7
574,Not good,4
575,*Beeping* Epic!!,10
576,Don't set the bar too high,7
577,Everything Wrong,1
578,Nothing unique or all that impressive.,6
579,The trailer was more fun than the movie,5
580,"Not anywhere near a perfect movie, but definitely worth seeing.",6
581,Very predictable,5
582,I actually almost loved it. I am in the squad :3 Joke's on me,9
583,"over-promoted but better than BvS, proving Ayer a better director than a writer.",7
584,Heavily OverPromotion of The Joker... You screwed us DC/Warner Bros.,1
585,I love this Movie!!,8
586,quite a movie where the villains are actually the heroes...sort of,7
587,It's not that great,1
588,"Spectacular setup, mediocre resolution",6
589,Easy and quite entertaining,5
590,Enjoyable but not much if u can't stand somewhat choppy plot.,7
591,"Had promise, but quickly fell flat",1
592,Why so serious?,10
593,"Better than the previous DC movies, but still short of good",6
594,Suicide Squad (2016),2
595,"Mixed feelings, Superhero genre",8
596,"descent movie with good action,comedy but a weak plot",7
597,Flat Jared Leto in comparison to Heath Ledger,5
598,"Liked it, but with reservations",6
599,Woeful,1
600,With DC Laughing All the Way to the Bank...Is the Joke on Us?,6
601,"i don't, i don't even....",1
602,a really slow burner...ish,9
603,Split between fandom and time.,7
604,a dissapointment,3
605,This is a worthwhile addition to the super hero genre that I really enjoyed,9
606,"""Suicide Squad"" feels like DC trying to catch up to Marvel",7
607,CG vomit,1
608,Seppuku Squad,6
609,Awful Movie,2
610,"Suicide Squad delivers a solid two hours of aesthetically pleasing, superpowered action that's just plain fun to watch.",6
611,"Just the worst - writing, plot, everything",1
612,"Not bad, could be better",8
613,Fun time with plenty of lols,7
614,"A ""Must not see"" film",1
615,Suicide Squad was Badass,10
616,Entertaining but not as good as expected,6
617,They nailed it with Margot Robbie and failed in every other aspect,2
618,Well................ it's worth watching,6
619,Not DC,2
620,The Third Best DC Studios Movie,6
621,Bad,3
622,Why have the Suicide squad when all you need is Deadshot?,6
623,Falls flat,2
624,Great Movie,10
625,Bad! Bad villains!,6
626,Ughh,1
627,"Enjoyable, but poor story",6
628,this movie feels very disjointed and broken up,4
629,"Starts off great, good middle, then drops off at the end.",7
630,"Nothing to see here, move along.",1
631,Very interesting,8
632,Couldn't do justice with the Joker..!!,6
633,Wonderful film!,4
634,Super Hero Version of The Dirty Dozen,8
635,"Not The Best, But Not The Worst",6
636,Garbage.,2
637,"Not the big breakthrough, but fun nonetheless",7
638,Just a mess,4
639,Very entertaining but not a very deep movie,7
640,flat,3
641,Finally a good DC movie,8
642,"Watchable, but a generally disappointing and empty affair",7
643,It has 2 huge problems,5
644,Not dark or twisted enough but fun nevertheless,8
645,The Joker was awful.,6
646,Suicide Squad is Terrible,2
647,"Suicide Squad | Worst Heroes Ever with great potential, but wrong execution",7
648,A wasted opportunity for DCs cinematic universe,4
649,"""Suicide Squad"" is Fast and Fun But Could Have Been Better",7
650,An Unwatchable movie,2
651,DC Does It Again,10
652,Great movie,7
653,Not good,4
654,As A Normal Movie Fan My Review On Suicide Squad,8
655,Rant/Rave,7
656,Absolutely boring and not worth seeing,4
657,Suicide Squad Review!,7
658,Garbage,3
659,Great Start Flat Finish,7
660,Needs more action,4
661,Amazing movie,10
662,"Great characters and performances, inconsistent storytelling.",6
663,Colossal boring trainwreck,2
664,Wow!!! This was awesome,10
665,Great and terrible at once,7
666,Suicide Squad Is An Alright Movie,4
667,a superhero mix-bag fatigue,6
668,In an attempt to make the DC extended universe more dark and adult it becomes more teenage.,5
669,Better Than Expected,7
670,A Bull's-Eye of Horrible Execution,4
671,Awesome Movie,10
672,"Big potential left unfulfilled, but still well worth watching",7
673,Lack of character development,5
674,An extended director's cut would make it nearly perfect!,10
675,Suicide Squad Review,7
676,Spoilers* 3rd rate DC characters in a bad installment of the mummy franchise,3
677,A mediocre antihero movie with a great cast.,6
678,"Top actors in ""B"" movie",2
679,It was OK but I Wish It was Gr8. DC I expect Better!,7
680,Aggressively bad and painfully stupid,3
681,awesome squad,10
682,How Did This Get Such Bad Reviews??,6
683,DISAPPOINTMENT,5
684,A Change of Pace For Super Hero Movies,8
685,Beautiful movie.,7
686,It Was.... Okay,4
687,Potential for further films - could have done more with this one.,6
688,Eh,5
689,"Suicide Squad, deserving Near Perfect Movie, blundered upon a standard Fun/Action Film",7
690,OFFENDED?@!?!?!?,3
691,"Not as bad as the critics or the review, instead an interesting movie",8
692,Fun though a little bit cartoonish,6
693,Simply pathetic,2
694,Whats with all the hate,9
695,"""Suicide Squad"" Is As Good As The Actions Of Its Antiheros",7
696,"What I was expecting to be the ""Avengers"" for villains was, well... not that. Not remotely.",5
697,Not as bad as everyone says,6
698,New low for big budget garbage,1
699,"Harley Quinn is hot, but the movies not",6
700,It felt like one big trailer,3
701,Fun and entertaining,8
702,I love dark themed DC universe,7
703,Everything wrong with DC,1
704,Truly Amazing - Joker and Harley Are the BEST,9
705,Still Fun Despite a Seeming Lack of Direction,7
706,"Short on concept, rife with stereotypes, bad one-liners, re-shoots, we saw this coming.",5
707,"Unbalanced, Yet Entertaining",7
708,For the brain-dead masses,1
709,Very disappointing,6
710,Not as horrible as I was expecting,5
711,"""Oh, I'm not gonna kill you, I'm just gonna hurt you, really, really, bad!""",8
712,"Not bad, yet not memorable",6
713,Pretentious Portrayals of The Original Characters from the Comic Books,1
714,"Suicide Squad is a jaw dropping thriller that will have you begging for more, I suggest you see this movie as it does set up the future of the DCEU.",8
715,"Great movie overall ,just lower your expectations",7
716,Simply Awful,3
717,The best part was Ben Affleck.,7
718,Just Bad.,3
719,"DC's best movie so far, which isn't necessarily a good thing",6
720,Suicide Squad was a really bad movie,3
721,Insanely brilliant,10
722,A weird but fun movie,6
723,Margot Robbie is worth a star,1
724,"Good movie, too harshly criticised",8
725,"""Assault on Arkham"" is still the better movie",6
726,Officer Amanda Waller to guarantee the safety of the US forms a team which includes the most dangerous villains of the world...,4
727,Guilty Pleasures,7
728,Suicide Squad: A Misfire of Missed Opportunities,5
729,Acting Makes This A Winner,7
730,When good source material goes bad!,2
731,DC delivers more fun to match it's darkness.,8
732,"Not only one of my favorite superhero movies, one of my favorite films ever",6
733,Schlechter als erwatet,2
734,Only for Entertainment purposes,8
735,Just another super-hero movie...,7
736,Mostly bad,5
737,Harley Worth Watching,7
738,The movie is TERRIBLE,1
739,Stupid fun with no story,7
740,Another wasted potential,2
741,Worst heroes,10
742,Suicide Squad was a fun movie with a messy way of telling the storyline,7
743,Cringe,2
744,Really underrated,8
745,Not As Bad As People Are Saying!,7
746,"After watching this,suicide could be the answer",4
747,Missed opportunity,6
748,Garbage,1
